chr1	11121	24894	ENSG00000290825.2
chr1	12010	13670	ENSG00000223972.6
chr1	14356	30744	ENSG00000310526.1
chr1	14696	24886	ENSG00000227232.6
chr1	17369	17436	ENSG00000278267.1
chr1	28589	31109	ENSG00000243485.6
chr1	30366	30503	ENSG00000284332.1
chr1	34553	37595	ENSG00000237613.3
chr1	36526	40778	ENSG00000308361.1
chr1	51891	64116	ENSG00000290826.2
chr1	52473	53312	ENSG00000268020.3
chr1	62949	63887	ENSG00000240361.3
chr1	65419	71585	ENSG00000186092.7
chr1	89295	181719	ENSG00000241860.8
chr1	89551	91105	ENSG00000239945.1
chr1	96638	105742	ENSG00000308314.1
chr1	131025	134836	ENSG00000233750.3
chr1	134914	136246	ENSG00000308579.1
chr1	135141	135895	ENSG00000268903.1
chr1	137682	137965	ENSG00000269981.1
chr1	139790	140339	ENSG00000239906.1
chr1	146386	199861	ENSG00000310528.1
chr1	157784	157887	ENSG00000222623.1
chr1	160446	161525	ENSG00000241599.1
chr1	180931	184937	ENSG00000308415.1
chr1	182146	201244	ENSG00000310527.1
chr1	182696	184174	ENSG00000279928.2
chr1	185217	195411	ENSG00000279457.4
chr1	187891	187958	ENSG00000273874.1
chr1	199108	199882	ENSG00000308625.1
chr1	199948	201629	ENSG00000308544.1
chr1	257864	359681	ENSG00000292994.2
chr1	258568	259024	ENSG00000228463.11
chr1	258696	266103	ENSG00000306775.1
chr1	266753	284291	ENSG00000286448.2
chr1	347982	348366	ENSG00000236679.2
chr1	356138	366052	ENSG00000236601.3
chr1	365127	532459	ENSG00000290385.2
chr1	439870	440232	ENSG00000269732.1
chr1	450740	451678	ENSG00000284733.2
chr1	485026	485208	ENSG00000237094.13
chr1	487101	489906	ENSG00000233653.3
chr1	491225	493241	ENSG00000250575.1
chr1	516376	516479	ENSG00000278757.1
chr1	586054	633129	ENSG00000293331.2
chr1	586945	827989	ENSG00000225880.7
chr1	587577	595116	ENSG00000235146.3
chr1	629062	629433	ENSG00000225972.1
chr1	629640	630683	ENSG00000225630.1
chr1	631074	632616	ENSG00000237973.1
chr1	632325	632413	ENSG00000278791.1
chr1	632757	633438	ENSG00000229344.1
chr1	633535	633741	ENSG00000240409.1
chr1	633696	634376	ENSG00000248527.1
chr1	634376	634922	ENSG00000198744.5
chr1	674842	675265	ENSG00000268663.1
chr1	685716	686654	ENSG00000284662.2
chr1	720024	720206	ENSG00000230021.11
chr1	722092	724903	ENSG00000229376.3
chr1	758233	758336	ENSG00000223181.1
chr1	760911	761989	ENSG00000229905.1
chr1	764723	774280	ENSG00000228327.6
chr1	778739	810066	ENSG00000237491.11
chr1	781937	782050	ENSG00000285268.1
chr1	805799	810161	ENSG00000230092.8
chr1	817363	819842	ENSG00000177757.3
chr1	825138	868835	ENSG00000228794.13
chr1	833098	835618	ENSG00000297178.1
chr1	850902	852130	ENSG00000297224.1
chr1	868052	877032	ENSG00000230368.3
chr1	873292	874349	ENSG00000234711.1
chr1	874529	877234	ENSG00000283040.1
chr1	882161	889297	ENSG00000296088.1
chr1	904786	921034	ENSG00000272438.2
chr1	908073	910592	ENSG00000298603.1
chr1	916865	925614	ENSG00000223764.3
chr1	923923	944575	ENSG00000187634.13
chr1	944203	959309	ENSG00000188976.11
chr1	960584	965719	ENSG00000187961.15
chr1	966482	975865	ENSG00000187583.11
chr1	975198	982117	ENSG00000187642.10
chr1	982505	989967	ENSG00000303599.1
chr1	995966	998051	ENSG00000272512.1
chr1	998962	1000172	ENSG00000188290.11
chr1	1000715	1001068	ENSG00000303623.1
chr1	1001138	1014540	ENSG00000187608.10
chr1	1004058	1006442	ENSG00000303614.1
chr1	1008076	1008229	ENSG00000231702.2
chr1	1011997	1013193	ENSG00000224969.1
chr1	1020120	1056119	ENSG00000188157.16
chr1	1055033	1056116	ENSG00000242590.1
chr1	1058461	1066464	ENSG00000291156.2
chr1	1061267	1064278	ENSG00000273443.2
chr1	1063079	1069355	ENSG00000217801.13
chr1	1065634	1069347	ENSG00000304119.1
chr1	1069213	1072933	ENSG00000304169.1
chr1	1070967	1074306	ENSG00000237330.3
chr1	1081818	1116361	ENSG00000131591.18
chr1	1097585	1104598	ENSG00000285812.1
chr1	1126312	1129023	ENSG00000299943.1
chr1	1137017	1144056	ENSG00000223823.1
chr1	1157405	1158254	ENSG00000304965.1
chr1	1167104	1167198	ENSG00000207730.3
chr1	1167863	1167952	ENSG00000207607.3
chr1	1169005	1169087	ENSG00000198976.1
chr1	1169357	1170343	ENSG00000272141.1
chr1	1173056	1179555	ENSG00000205231.1
chr1	1173880	1197936	ENSG00000162571.14
chr1	1203508	1206592	ENSG00000186891.14
chr1	1211326	1214153	ENSG00000186827.12
chr1	1216908	1228947	ENSG00000304412.1
chr1	1216931	1232031	ENSG00000078808.20
